# Quantisation noise floor: HF reference from bf16 shards vs HF reference from the dequantised bartowski Q4_K_M GGUF
# tools/noise_floor.py; sources: tools/ref_forward.py --weights bf16 --dtype f32 (models/Qwen3.8-27B) and --weights gguf (Qwen3.8-27B-Q4_K_M.gguf)
# both float32 compute, eager attention, raw prompt ids; per layer: max|bf16 - gguf| over all positions, relative to max|bf16|, and
# the RMS of the difference relative to the RMS of the bf16 hidden state (rms_rel); 'cos' is the cosine between the two hidden states

== prompt capital (5 ids) ==
  layer type              max|diff|   max|bf16|   rel      rms_rel   cos
      0 linear_attention     0.0698     20.047  3.48e-03  1.07e-02  0.999946
      1 linear_attention     0.4038     30.770  1.31e-02  1.52e-02  0.999934
      2 linear_attention     0.5605     44.708  1.25e-02  1.66e-02  0.999933
      3 full_attention       0.6133     51.629  1.19e-02  1.62e-02  0.999945
      4 linear_attention     0.6562     54.936  1.19e-02  1.77e-02  0.999929
      5 linear_attention     0.7310     57.562  1.27e-02  1.93e-02  0.999910
      6 linear_attention     0.8686     68.567  1.27e-02  1.98e-02  0.999876
      7 full_attention       0.9510     67.749  1.40e-02  2.07e-02  0.999852
      8 linear_attention     0.8809     73.557  1.20e-02  2.22e-02  0.999812
      9 linear_attention     0.9413     85.450  1.10e-02  2.41e-02  0.999790
     10 linear_attention     0.9968    111.611  8.93e-03  2.21e-02  0.999816
     11 full_attention       1.0293    108.344  9.50e-03  2.27e-02  0.999791
     12 linear_attention     1.0719    109.644  9.78e-03  2.50e-02  0.999745
     13 linear_attention     1.0634    116.149  9.16e-03  2.54e-02  0.999723
     14 linear_attention     1.0481    142.959  7.33e-03  2.44e-02  0.999733
     15 full_attention       1.1197    137.602  8.14e-03  2.61e-02  0.999696
     16 linear_attention     1.0881    133.430  8.16e-03  2.74e-02  0.999661
     17 linear_attention     1.1478    133.902  8.57e-03  2.89e-02  0.999616
     18 linear_attention     1.0893    170.293  6.40e-03  2.70e-02  0.999668
     19 full_attention       0.9704    147.017  6.60e-03  3.03e-02  0.999568
     20 linear_attention     0.9820    126.384  7.77e-03  3.49e-02  0.999418
     21 linear_attention     1.7509    180.834  9.68e-03  3.08e-02  0.999542
     22 linear_attention     1.7619    183.171  9.62e-03  3.04e-02  0.999553
     23 full_attention       1.7641    185.702  9.50e-03  3.36e-02  0.999455
     24 linear_attention     1.7690    186.247  9.50e-03  3.54e-02  0.999396
     25 linear_attention     2.0193    202.009  1.00e-02  3.45e-02  0.999433
     26 linear_attention     2.0079    204.251  9.83e-03  3.49e-02  0.999425
     27 full_attention       1.9905    204.412  9.74e-03  3.73e-02  0.999340
     28 linear_attention     1.9941    204.058  9.77e-03  3.83e-02  0.999300
     29 linear_attention     1.9955    203.804  9.79e-03  3.95e-02  0.999252
     30 linear_attention     2.0013    205.186  9.75e-03  3.87e-02  0.999278
     31 full_attention       2.0009    204.680  9.78e-03  3.93e-02  0.999257
     32 linear_attention     2.0002    204.356  9.79e-03  4.08e-02  0.999201
     33 linear_attention     1.9953    203.955  9.78e-03  3.98e-02  0.999239
     34 linear_attention     1.9506    205.121  9.51e-03  3.81e-02  0.999309
     35 full_attention       1.9733    204.026  9.67e-03  4.03e-02  0.999230
     36 linear_attention     1.9747    203.575  9.70e-03  4.03e-02  0.999230
     37 linear_attention     1.9708    203.075  9.70e-03  4.08e-02  0.999213
     38 linear_attention     1.9823    203.160  9.76e-03  4.04e-02  0.999223
     39 full_attention       1.9667    199.875  9.84e-03  4.24e-02  0.999135
     40 linear_attention     1.9421    197.044  9.86e-03  4.12e-02  0.999182
     41 linear_attention     1.9417    196.968  9.86e-03  4.17e-02  0.999165
     42 linear_attention     1.8384    193.719  9.49e-03  4.18e-02  0.999154
     43 full_attention       1.8449    189.744  9.72e-03  4.27e-02  0.999112
     44 linear_attention     1.8575    187.358  9.91e-03  4.38e-02  0.999066
     45 linear_attention     1.8471    185.901  9.94e-03  4.44e-02  0.999033
     46 linear_attention     1.9955    181.856  1.10e-02  4.39e-02  0.999052
     47 full_attention       1.9136    159.244  1.20e-02  4.87e-02  0.998826
     48 linear_attention     2.0776    140.074  1.48e-02  5.36e-02  0.998587
     49 linear_attention     2.0956    137.696  1.52e-02  5.47e-02  0.998517
     50 linear_attention     2.0337    146.215  1.39e-02  5.09e-02  0.998715
     51 full_attention       1.6741     83.197  2.01e-02  6.25e-02  0.998055
     52 linear_attention     1.7477     81.468  2.15e-02  6.10e-02  0.998139
     53 linear_attention     1.7581     84.023  2.09e-02  6.20e-02  0.998091
     54 linear_attention     3.9597    373.821  1.06e-02  4.64e-02  0.998941
     55 full_attention       3.1130    248.257  1.25e-02  5.43e-02  0.998538
     56 linear_attention     2.7666    258.418  1.07e-02  5.46e-02  0.998518
